strike,bid,ask,volume,openInterest
2400.0,3214.5,3232.8,3,1
3400.0,2214.8,2233.0,2,1
4900.0,714.9,733.4,2,1
5000.0,615.0,633.7,1,19
5200.0,415.1,433.8,8,1
5400.0,215.5,233.7,34,0
5500.0,127.8,129.4,426,170
5525.0,104.1,106.0,163,82
5540.0,90.6,92.8,266,220
5550.0,82.3,83.8,378,600
5570.0,65.5,66.9,285,188
5585.0,53.6,55.1,975,208
5590.0,50.3,51.0,529,202
5595.0,46.6,47.4,711,99
5600.0,43.1,43.9,4517,454
5615.0,33.4,34.1,1243,152
5625.0,27.6,28.0,3187,228
5630.0,24.9,25.3,2748,188
5635.0,22.3,22.8,1816,229
5640.0,19.9,20.4,3558,124
5645.0,17.7,18.2,2072,111
5650.0,15.6,16.1,5351,1244
5655.0,13.7,14.2,1335,153
5660.0,12.0,12.4,2142,245
5665.0,10.5,10.9,1927,591
5670.0,9.1,9.5,2678,1469
5675.0,7.8,8.2,2435,480
5680.0,6.7,7.1,6415,526
5685.0,5.7,6.1,5217,159
5690.0,4.9,5.2,2323,218
5695.0,4.1,4.4,2196,393
5700.0,3.5,3.7,11476,2852
5705.0,2.9,3.1,1234,191
5710.0,2.4,2.6,5646,1048
5715.0,2.0,2.15,2786,169
5720.0,1.65,1.8,4460,918
5725.0,1.35,1.5,4549,307
5730.0,1.05,1.25,5383,252
5735.0,0.85,1.0,2949,390
5740.0,0.7,0.85,6838,215
5745.0,0.55,0.7,2709,256
5750.0,0.4,0.6,6350,825
5755.0,0.3,0.5,1618,211
5760.0,0.25,0.4,996,511
5765.0,0.2,0.35,563,177
5770.0,0.15,0.25,1799,1350
5775.0,0.1,0.2,608,274
5780.0,0.1,0.15,1873,312
5785.0,0.05,0.15,879,395
5790.0,0.05,0.15,763,336
5795.0,0.1,0.15,654,283
5800.0,0.05,0.1,1952,2072
5805.0,0.0,0.15,207,373
5810.0,0.0,0.15,668,356
5815.0,0.0,0.15,518,316
5820.0,0.0,0.1,1217,446
5825.0,0.0,0.1,3168,380
5830.0,0.0,0.1,338,365
5835.0,0.0,0.1,669,214
5840.0,0.0,0.1,2099,278
5845.0,0.0,0.1,156,331
5850.0,0.0,0.05,1011,700
5855.0,0.0,0.1,582,748
5860.0,0.0,0.1,23,721
5865.0,0.0,0.1,54,770
5870.0,0.0,0.1,21,441
5875.0,0.0,0.0,189,442
5880.0,0.0,0.1,268,423
5885.0,0.0,0.1,39,493
5890.0,0.0,0.1,667,239
5895.0,0.0,0.1,25,200
5900.0,0.0,0.0,1485,998
5905.0,0.0,0.1,158,266
5910.0,0.0,0.1,37,241
5915.0,0.0,0.1,9,194
5920.0,0.0,0.1,11,121
5925.0,0.0,0.0,28,356
5930.0,0.0,0.1,2019,189
5935.0,0.0,0.1,6,200
5940.0,0.0,0.1,11,224
5945.0,0.0,0.1,38,139
5950.0,0.0,0.1,24,697
5955.0,0.0,0.0,1,175
5960.0,0.0,0.1,15,152
5965.0,0.0,0.1,9,309
5970.0,0.0,0.1,1,239
5975.0,0.0,0.0,1,280
5980.0,0.0,0.1,10,180
5985.0,0.0,0.1,1,168
5990.0,0.0,0.1,2,138
5995.0,0.0,0.1,3,183
6000.0,0.0,0.0,5,1158
6005.0,0.0,0.1,2,329
6010.0,0.0,0.1,1,295
6015.0,0.0,0.1,20,213
6020.0,0.0,0.1,94,819
6025.0,0.0,0.1,251,805
6030.0,0.0,0.1,15,134
6035.0,0.0,0.1,2,134
6040.0,0.0,0.1,10,183
6045.0,0.0,0.1,10,130
6050.0,0.0,0.0,11,574
6055.0,0.0,0.1,13,219
6060.0,0.0,0.1,10,241
6065.0,0.0,0.1,1,111
6070.0,0.0,0.1,4,538
6075.0,0.0,0.1,1,247
6080.0,0.0,0.1,2,160
6085.0,0.0,0.1,3,91
6090.0,0.0,0.1,10,116
6095.0,0.0,0.1,4,107
6100.0,0.0,0.0,3,678
6105.0,0.0,0.1,1,239
6110.0,0.0,0.1,30,134
6115.0,0.0,0.1,34,150
6120.0,0.0,0.1,1,240
6125.0,0.0,0.1,32,658
6130.0,0.0,0.1,60,147
6135.0,0.0,0.1,5,106
6140.0,0.0,0.1,10,111
6145.0,0.0,0.1,10,106
6150.0,0.0,0.0,12,509
6155.0,0.0,0.0,40,176
6160.0,0.0,0.0,33,607
6165.0,0.0,0.0,16,133
6170.0,0.0,0.0,17,194
6175.0,0.0,0.0,22,782
6180.0,0.0,0.0,5,602
6185.0,0.0,0.0,3,62
6190.0,0.0,0.0,125,786
6195.0,0.0,0.1,10,20
6200.0,0.0,0.05,11,1176
6205.0,0.0,0.1,1,69
6210.0,0.0,0.1,2,147
6220.0,0.0,0.1,1,86
6225.0,0.0,0.0,2,570
6230.0,0.0,0.1,21,42
6240.0,0.0,0.1,1,61
6250.0,0.0,0.05,1,186
6260.0,0.0,0.1,67,97
6275.0,0.0,0.1,25,330
6300.0,0.0,0.05,50,515
6325.0,0.0,0.1,4,275
6350.0,0.0,0.1,4,272
6375.0,0.0,0.1,10,36
6400.0,0.0,0.1,4,105
6450.0,0.0,0.1,40,52
6500.0,0.0,0.1,2,17
6600.0,0.0,0.1,10,89
6700.0,0.0,0.1,1,16
6800.0,0.0,0.1,1,3
7800.0,0.0,0.05,1,117
